rank,priority_bucket,faculty_name,likely_faculty_status,institution,country_code,us_or_non_us,in_existing_us_grad_program_file,grad_advisor_fit,advisor_competitiveness,matched_works_count,most_recent_matched_year,computational_ecology_fit_tags,openalex_h_index,openalex_works_count,openalex_cited_by_count,top_matched_journals,representative_work_1,representative_work_2,representative_work_3,why_theo_should_research,suggested_first_email_angle,orcid,openalex_profile_url,data_source_snapshot_date
55,C - keep on longlist,Marlon E. Cobos,Likely faculty/senior PI,University of Kansas,US,US,no,Strong (university advisor pipeline),Selective but variable,6,2021,species_distribution,18,107,2520,Ecological Informatics; Frontiers of Biogeography; PeerJ; Biodiversity Informatics,kuenm: an R package for detailed development of ecological niche models using Maxent,An exhaustive analysis of heuristic methods for variable selection in ecological niche modeling and species distribution modeling,General Theory and Good Practices in Ecological Niche Modeling: A Basic Guide,Recurring publication signal (6 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-2611-1767,https://openalex.org/A5007340872,2026-04-10
56,B - high potential,Adam B. Smith,Likely faculty/senior PI,Missouri Botanical Garden,US,US,no,Possible (manual verification needed),Selective but variable,7,2023,species_distribution; joint_models,29,85,5281,Ecography; Global Ecology and Biogeography; Ecosphere; bioRxiv (Cold Spring Harbor Laboratory),Testing the ability of species distribution models to infer variable importance,Including imprecisely georeferenced specimens improves accuracy of species distribution models and estimates of niche breadth,"Modeling the rarest of the rare: a comparison between multi‐species distribution models, ensembles of small models, and single‐species models at extremely low sample sizes","Recurring publication signal (7 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6420-1659,https://openalex.org/A5012024993,2026-04-10
57,B - high potential,William W. L. Cheung,Likely faculty/senior PI,,,Non-US,unknown,Possible (manual verification needed),High,8,2023,food_webs; ecosystem_modeling; species_distribution,61,245,19339,Frontiers in Marine Science; Ecography; bioRxiv (Cold Spring Harbor Laboratory); Estuarine Coastal and Shelf Science,A quantitative review of abundance‐based species distribution models,A quantitative review of abundance-based species distribution models,Disentangling diverse responses to climate change among global marine ecosystem models,"Recurring publication signal (8 matched works) in food_webs, ecosystem_modeling, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-9998-0384,https://openalex.org/A5102754549,2026-04-10
58,C - keep on longlist,Francis K. C. Hui,Likely faculty/senior PI,Australian National University,AU,Non-US,no,Strong (university advisor pipeline),Selective but variable,6,2024,joint_models; species_distribution,30,179,7387,Methods in Ecology and Evolution; Ecological Monographs; Ecology; Journal of Biogeography,A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,Joint species distribution models with species correlations and imperfect detection,Spatiotemporal joint species distribution modelling: A basis function approach,"Recurring publication signal (6 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0765-3533,https://openalex.org/A5000251612,2026-04-10
59,B - high potential,Tadhg N. Moore,Likely faculty/senior PI,National Postdoctoral Association,US,US,no,Lower (not a typical PhD advisor home),Selective but variable,12,2024,forecasting,14,50,1107,Zenodo (CERN European Organization for Nuclear Research); Ecosphere; Forecasting; Ecology and Evolution,Integrating Ecological Forecasting into Undergraduate Ecology Curricula with an R Shiny Application-Based Teaching Module,Data assimilation experiments inform monitoring needs for near‐term ecological forecasts in a eutrophic reservoir,Assessing opportunities and inequities in undergraduate ecological forecasting education,Recurring publication signal (12 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-3834-8868,https://openalex.org/A5039625658,2026-04-10
60,B - high potential,Jody A. Peters,Likely faculty/senior PI,Vanderbilt University Medical Center,US,US,no,Lower (not a typical PhD advisor home),Selective but variable,11,2024,forecasting,15,47,1007,Zenodo (CERN European Organization for Nuclear Research); Methods in Ecology and Evolution; Frontiers in Ecology and the Environment; Nature Climate Change,The power of forecasts to advance ecological theory,The<scp>NEON</scp>Ecological Forecasting Challenge,Going Virtual: What we Learned from the Ecological Forecasting Initiative Research Coordination Network Virtual Workshop,Recurring publication signal (11 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9165-1508,https://openalex.org/A5039431909,2026-04-10
61,C - keep on longlist,Philip A. Townsend,Likely faculty/senior PI,Louisiana State University,US,US,no,Strong (university advisor pipeline),Moderate,6,2022,remote_sensing,71,556,18177,Nature Ecology & Evolution; Remote Sensing,Remote Sensing of Plant Biodiversity,Integrating remote sensing with ecology and evolution to advance biodiversity conservation,The Use of Remote Sensing to Enhance Biodiversity Monitoring and Detection: A Critical Challenge for the Twenty-First Century,Recurring publication signal (6 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-7003-8774,https://openalex.org/A5014556096,2026-04-10
62,C - keep on longlist,John A. Gamon,Likely faculty/senior PI,University of Nebraska–Lincoln,US,US,no,Strong (university advisor pipeline),Moderate,6,2026,remote_sensing,70,266,27008,Remote Sensing of Environment,Remote sensing of terrestrial plant biodiversity,Remote Sensing of Plant Biodiversity,Consideration of Scale in Remote Sensing of Biodiversity,Recurring publication signal (6 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-8269-7723,https://openalex.org/A5034480863,2026-04-10
63,C - keep on longlist,Owen L. Petchey,Likely faculty/senior PI,University of Zurich,CH,Non-US,no,Strong (university advisor pipeline),Moderate,6,2025,forecasting; food_webs,71,306,22399,Ecology Letters; Global Change Biology; Nature Climate Change,Forecasting in the face of ecological complexity: Number and strength of species interactions determine forecast skill in ecological communities,A simple model predicts how warming simplifies wild food webs,Mixed Evidence for Species Diversity Affecting Ecological Forecasts in Constant Versus Declining Light,"Recurring publication signal (6 matched works) in forecasting, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-7724-1633,https://openalex.org/A5028533498,2026-04-10
64,B - high potential,Mary E. Blair,Likely faculty/senior PI,Eskenazi Health Foundation,US,US,no,Possible (manual verification needed),Selective but variable,7,2023,species_distribution; forecasting,19,95,5025,Ecological Research; Ecography; Tropical Conservation Science; Frontiers of Biogeography,Species Distribution Modeling for Conservation Educators and Practitioners,Species distribution modeling to inform transboundary species conservation and management under climate change: promise and pitfalls,<i>wallace</i> 2: a shiny app for modeling species niches and distributions redesigned to facilitate expansion via module contributions,"Recurring publication signal (7 matched works) in species_distribution, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0139-020X,https://openalex.org/A5030444201,2026-04-10
65,C - keep on longlist,Monica Papeş,Likely faculty/senior PI,University of Tennessee at Knoxville,US,US,yes,Strong (university advisor pipeline),Selective but variable,5,2023,species_distribution; bayesian_models,30,115,6533,Ecology and Evolution; Nature Ecology & Evolution; Ecography; New Phytologist,Collinearity in ecological niche modeling: Confusions and challenges,A checklist for maximizing reproducibility of ecological niche models,Physiology in ecological niche modeling: using zebra mussel's upper thermal tolerance to refine model predictions through Bayesian analysis,"Recurring publication signal (5 matched works) in species_distribution, bayesian_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0009-0007-9662-5580,https://openalex.org/A5032164522,2026-04-10
66,C - keep on longlist,Octavio Rojas‐Soto,Likely faculty/senior PI,Instituto de Ecología,MX,Non-US,no,Possible (manual verification needed),Selective but variable,7,2024,species_distribution,27,155,2426,Journal of Biogeography; Aquatic Ecology; Botanical Journal of the Linnean Society; Mammalia,Calibration areas in ecological niche and species distribution modelling: Unravelling approaches and concepts,On the environmental background of aquatic organisms for ecological niche modeling: a call for caution,Climatic affinities of Neotropical species of Capparaceae: an approach from ecological niche modelling and numerical ecology,Recurring publication signal (7 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-0201-1454,https://openalex.org/A5017924168,2026-04-10
67,C - keep on longlist,Olivier Broennimann,Likely faculty/senior PI,University of Lausanne,CH,Non-US,no,Strong (university advisor pipeline),Moderate,5,2024,species_distribution,50,163,15486,Ecography; Journal of Vegetation Science; Ecological Informatics; Ecological Modelling,<i>wallace</i> 2: a shiny app for modeling species niches and distributions redesigned to facilitate expansion via module contributions,Hierarchical species distribution models in support of vegetation conservation at the landscape scale,Too many candidates: Embedded covariate selection procedure for species distribution modelling with the covsel R package,Recurring publication signal (5 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-9913-3695,https://openalex.org/A5088784991,2026-04-10
68,C - keep on longlist,Joaquín Hortal,Likely faculty/senior PI,University of Lisbon,PT,Non-US,no,Strong (university advisor pipeline),Moderate,5,2025,species_distribution; joint_models,56,325,13924,Peer Community In Ecology; Ecological Indicators; Ecography; npj Biodiversity,Using maps of biogeographical ignorance to reveal the uncertainty in distributional data hidden in species distribution models,High uncertainty in the effects of data characteristics on the performance of species distribution models,A quixotic view of spatial bias in modelling the distribution of species and their diversity,"Recurring publication signal (5 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-8370-8877,https://openalex.org/A5054732842,2026-04-10
69,C - keep on longlist,Ulrich Brose,Likely faculty/senior PI,German Centre for Integrative Biodiversity Research,DE,Non-US,no,Possible (manual verification needed),Moderate,8,2024,food_webs; ecological_networks,75,318,22614,Ecology Letters; Global Ecology and Biogeography; Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature; Philosophical Transactions of the Royal Society B Biological Sciences,A size‐constrained feeding‐niche model distinguishes predation patterns between aquatic and terrestrial food webs,How artificial light at night may rewire ecological networks: concepts and models,Perspectives in modelling ecological interaction networks for sustainable ecosystem management,"Recurring publication signal (8 matched works) in food_webs, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-9156-583X,https://openalex.org/A5008126815,2026-04-10
70,C - keep on longlist,Carsten F. Dormann,Likely faculty/senior PI,University of Freiburg,DE,Non-US,no,Strong (university advisor pipeline),Moderate,5,2025,forecasting; species_distribution,74,363,45318,Methods in Ecology and Evolution; arXiv (Cornell University); Ecography,A standard protocol for reporting species distribution models,"The ecological forecast limit revisited: Potential, absolute and relative system predictability","Author response for ""The ecological forecast limit revisited: Potential, absolute and relative system predictability""","Recurring publication signal (5 matched works) in forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9835-1794,https://openalex.org/A5075919156,2026-04-10
71,C - keep on longlist,Nathalie Niquil,Likely faculty/senior PI,Centre National de la Recherche Scientifique,FR,Non-US,no,Possible (manual verification needed),Selective but variable,7,2025,food_webs; species_distribution,41,176,4429,Ecological Informatics; Fisheries Oceanography; Journal of Marine Systems; Ecological Modelling,Impacts of climate change on the Bay of Seine ecosystem: Forcing a spatio‐temporal trophic model with predictions from an ecological niche model,A spatial food web model to investigate potential spillover effects of a fishery closure in an offshore wind farm,An open-source framework to model present and future marine species distributions at local scale,"Recurring publication signal (7 matched works) in food_webs, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-0772-754X,https://openalex.org/A5076061911,2026-04-10
72,C - keep on longlist,Paulo de Marco Júnior,Likely faculty/senior PI,Universidade Federal de Viçosa,BR,Non-US,no,Possible (manual verification needed),Selective but variable,5,2023,species_distribution,56,1155,10992,Ecological Modelling; Biological Conservation; Ecography; Methods in Ecology and Evolution,Dealing with overprediction in species distribution models: How adding distance constraints can improve model accuracy,ENMTML: An R package for a straightforward construction of complex ecological niche models,Overprediction of species distribution models in conservation planning: A still neglected issue with strong effects,Recurring publication signal (5 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-3628-6405,https://openalex.org/A5071908385,2026-04-10
73,B - high potential,Steven J. Bograd,Likely faculty/senior PI,NOAA National Marine Fisheries Service,US,US,no,Lower (not a typical PhD advisor home),Moderate,7,2023,species_distribution; forecasting; ecosystem_modeling,76,310,21373,Ecography; Nature Communications; AGU Fall Meeting Abstracts; Diversity and Distributions,Dynamic ensemble models to predict distributions and anthropogenic risk exposure for highly mobile species,Trade‐offs in covariate selection for species distribution models: a methodological comparison,Ecological forecasts for marine resource management during climate extremes,"Recurring publication signal (7 matched works) in species_distribution, forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3872-9932,https://openalex.org/A5066146362,2026-04-10
74,C - keep on longlist,José J. Lahoz‐Monfort,Likely faculty/senior PI,Consejo Superior de Investigaciones Científicas,ES,Non-US,no,Possible (manual verification needed),Selective but variable,5,2023,species_distribution,39,117,11656,Ecography; Ecological Monographs; Diversity and Distributions; Global Ecology and Biogeography,A review of evidence about use and performance of species distribution modelling ensembles like BIOMOD,Predictive performance of presence‐only species distribution models: a benchmark study with reproducible code,A standard protocol for reporting species distribution models,Recurring publication signal (5 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-0845-7035,https://openalex.org/A5070847668,2026-04-10
75,C - keep on longlist,Vinit Parida,Likely faculty/senior PI,Luleå University of Technology,SE,Non-US,no,Strong (university advisor pipeline),Moderate,5,2023,ecosystem_modeling,79,331,23185,Journal of Business Research; Technological Forecasting and Social Change; International Entrepreneurship and Management Journal,Orchestrating industrial ecosystem in circular economy: A two-stage transformation model for large manufacturing companies,"A maturity framework for autonomous solutions in manufacturing firms: The interplay of technology, ecosystem, and business model","AI-enabled business-model innovation and transformation in industrial ecosystems: A framework, model and outline for further research",Recurring publication signal (5 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3255-414X,https://openalex.org/A5090362709,2026-04-10
76,C - keep on longlist,Michele Torresani,Likely faculty/senior PI,Free University of Bozen-Bolzano,IT,Non-US,no,Strong (university advisor pipeline),Selective but variable,5,2024,remote_sensing; species_distribution,19,52,1165,Ecography; Progress in Physical Geography Earth and Environment; Ecological Informatics; Remote Sensing of Environment,Reviewing the Spectral Variation Hypothesis: Twenty years in the tumultuous sea of biodiversity estimation by remote sensing,"Optimising occurrence data in species distribution models: sample size, positional uncertainty, and sampling bias matter",Scale mismatches between predictor and response variables in species distribution modelling: A review of practices for appropriate grain selection,"Recurring publication signal (5 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-7270-3619,https://openalex.org/A5008299584,2026-04-10
77,C - keep on longlist,Roshanak Darvishzadeh,Likely faculty/senior PI,University of Twente,NL,Non-US,no,Strong (university advisor pipeline),Moderate,7,2025,remote_sensing,47,219,6715,University of Twente Research Information; Science of Remote Sensing; International Journal of Remote Sensing; Data Archiving and Networked Services (DANS),Mapping the relative abundance of soil microbiome biodiversity from eDNA and remote sensing,eDNA biodiversity from space: predicting soil bacteria and fungi alpha diversity in forests using DESIS satellite remote sensing,Airborne remote sensing for monitoring essential biodiversity variables in forest ecosystems (RS4forestEBV): A EUFAR summer school,Recurring publication signal (7 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-7512-0574,https://openalex.org/A5047127960,2026-04-10
78,C - keep on longlist,Guohe Huang,Likely faculty/senior PI,Kunming University of Science and Technology,CN,Non-US,no,Strong (university advisor pipeline),Moderate,6,2023,ecological_networks,99,1658,51634,The Science of The Total Environment; Journal of Cleaner Production; IOP Conference Series Earth and Environmental Science; Environmental Science and Pollution Research,"Ecological network analysis of an urban water metabolic system based on input-output model: A case study of Guangdong, China",Ecological network analysis of an energy metabolism system based on input-output tables: Model development and case study for Guangdong,Exploring the embodied carbon flow interactive relationships in China from an ecological network perspective: a model framework and application at provincial level,Recurring publication signal (6 matched works) in ecological_networks; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecological networks and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-4974-3019,https://openalex.org/A5014716343,2026-04-10
79,C - keep on longlist,Alan E. Gelfand,Likely faculty/senior PI,Duke University,US,US,yes,Strong (university advisor pipeline),Moderate,5,2024,joint_models; hierarchical_models,78,491,37420,Environmental and Ecological Statistics; bioRxiv (Cold Spring Harbor Laboratory); arXiv (Cornell University); The New England Journal of Statistics in Data Science,The role of odds ratios in joint species distribution modeling,Clarifying species dependence under joint species distribution modeling,Clarifying species dependence under joint species distribution modeling,"Recurring publication signal (5 matched works) in joint_models, hierarchical_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-5671-9212,https://openalex.org/A5042522667,2026-04-10
80,C - keep on longlist,Cory Merow,Likely faculty/senior PI,University of Connecticut,US,US,yes,Strong (university advisor pipeline),Moderate,4,2023,species_distribution,47,203,14621,Ecography; Frontiers in Ecology and Evolution; Nature Ecology & Evolution,A standard protocol for reporting species distribution models,A checklist for maximizing reproducibility of ecological niche models,<i>wallace</i> 2: a shiny app for modeling species niches and distributions redesigned to facilitate expansion via module contributions,Recurring publication signal (4 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0561-053X,https://openalex.org/A5006070240,2026-04-10
81,C - keep on longlist,Santiago José Elías Velazco,Likely faculty/senior PI,Consejo Nacional de Investigaciones Científicas y Técnicas,AR,Non-US,no,Possible (manual verification needed),Selective but variable,5,2023,species_distribution,18,76,1577,Ecological Modelling; Methods in Ecology and Evolution; Biological Conservation; Ecography,<scp>flexsdm</scp> : An <scp>r</scp> package for supporting a comprehensive and flexible species distribution modelling workflow,Overprediction of species distribution models in conservation planning: A still neglected issue with strong effects,"How far can I extrapolate my species distribution model? Exploring shape, a novel method",Recurring publication signal (5 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-7527-0967,https://openalex.org/A5030871172,2026-04-10
82,C - keep on longlist,Laura J. Pollock,Likely faculty/senior PI,McGill University,CA,Non-US,no,Strong (university advisor pipeline),Selective but variable,6,2025,food_webs; species_distribution,31,121,4441,Ecography; Global Ecology and Biogeography,Transferability of trait‐based species distribution models,Integrating food webs in species distribution models can improve ecological niche estimation and predictions,"Trait‐matching models predict pairwise interactions across regions, not food web properties","Recurring publication signal (6 matched works) in food_webs, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6004-4027,https://openalex.org/A5025863217,2026-04-10
83,C - keep on longlist,Jacob W. Bentley,Possible faculty/senior researcher,University of Kent,GB,Non-US,yes,Strong (university advisor pipeline),Selective but variable,6,2024,food_webs; ecosystem_modeling,12,27,583,ICES Journal of Marine Science; Frontiers in Marine Science; Ecology and Society,Fishers’ knowledge improves the accuracy of food web model predictions,Combining Ecosystem and Single-Species Modeling to Provide Ecosystem-Based Fisheries Management Advice Within Current Management Systems,Calibrating ecosystem models to support ecosystem-based management of marine systems,"Recurring publication signal (6 matched works) in food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0009-8645,https://openalex.org/A5018721129,2026-04-10
84,C - keep on longlist,Jasper A. Slingsby,Likely faculty/senior PI,University of Cape Town,ZA,Non-US,no,Strong (university advisor pipeline),Selective but variable,6,2025,remote_sensing; forecasting,27,106,2278,Nature Reviews Biodiversity; Methods in Ecology and Evolution; npj Biodiversity,Regional ecological forecasting across scales: A manifesto for a biodiversity hotspot,"Author response for ""Regional ecological forecasting across scales: A manifesto for a biodiversity hotspot""","The biodiversity survey of the Cape (BioSCape), integrating remote sensing with biodiversity science","Recurring publication signal (6 matched works) in remote_sensing, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-1246-1181,https://openalex.org/A5075161633,2026-04-10
85,C - keep on longlist,Thomas Hickler,Likely faculty/senior PI,Goethe University Frankfurt,DE,Non-US,no,Strong (university advisor pipeline),Moderate,5,2023,ecosystem_modeling; species_distribution,85,457,29085,Journal of Biogeography; Global Change Biology; The Science of The Total Environment; Ecosystems,A comparison of macroecological and stacked species distribution models to predict future global terrestrial vertebrate richness,Global ecosystems and fire: Multi‐model assessment of fire‐induced tree‐cover and carbon storage reduction,Ensembles of ecosystem service models can improve accuracy and indicate uncertainty,"Recurring publication signal (5 matched works) in ecosystem_modeling, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-4668-7552,https://openalex.org/A5076816357,2026-04-10
86,C - keep on longlist,Gleb Tikhonov,Likely faculty/senior PI,University of Helsinki,FI,Non-US,no,Strong (university advisor pipeline),Selective but variable,4,2024,joint_models; species_distribution,17,51,2622,bioRxiv (Cold Spring Harbor Laboratory); Methods in Ecology and Evolution; Ecology,Joint species distribution modelling with the<scp>r</scp>‐package H<scp>msc</scp>,Computationally efficient joint species distribution modeling of big spatial data,Joint species distribution modelling with HMSC-R,"Recurring publication signal (4 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3040-0307,https://openalex.org/A5038409565,2026-04-10
87,C - keep on longlist,Aleksi Lehikoinen,Likely faculty/senior PI,University of Helsinki,FI,Non-US,no,Strong (university advisor pipeline),Moderate,4,2023,species_distribution; joint_models,48,330,9290,Ecological Monographs; Methods in Ecology and Evolution; Diversity and Distributions; bioRxiv (Cold Spring Harbor Laboratory),A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,Joint species distribution modelling with the<scp>r</scp>‐package H<scp>msc</scp>,Species distributions models may predict accurately future distributions but poorly how distributions change: A critical perspective on model validation,"Recurring publication signal (4 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1989-277X,https://openalex.org/A5044509012,2026-04-10
88,C - keep on longlist,Anna Kuparinen,Likely faculty/senior PI,University of Jyväskylä,FI,Non-US,no,Strong (university advisor pipeline),Moderate,6,2024,food_webs; ecological_networks,42,175,6595,Evolutionary Applications; Ecology and Evolution; Ecological Modelling; SSRN Electronic Journal,Eco‐evolutionary dynamics driven by fishing: From single species models to dynamic evolution within complex food webs,Non-trophic interactions amplify kelp harvest-induced biomass oscillations and biomass changes in a kelp forest ecological network model,A modified niche model for generating food webs with stage‐structured consumers: The stabilizing effects of life‐history stages on complex food webs,"Recurring publication signal (6 matched works) in food_webs, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-7807-8946,https://openalex.org/A5058555514,2026-04-10
89,C - keep on longlist,Rafael O. Wüest,Likely faculty/senior PI,"Swiss Federal Institute for Forest, Snow and Landscape Research",CH,Non-US,no,Possible (manual verification needed),Selective but variable,5,2022,species_distribution; joint_models,26,62,3226,Journal of Biogeography; Forest Ecology and Management; bioRxiv (Cold Spring Harbor Laboratory),Testing species assemblage predictions from stacked and joint species distribution models,Model complexity affects species distribution projections under climate change,LiDAR data as a proxy for light availability improve distribution modelling of woody species,"Recurring publication signal (5 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-6047-1945,https://openalex.org/A5066761839,2026-04-10
90,C - keep on longlist,Villy Christensen,Likely faculty/senior PI,Fisheries and Oceans Canada,CA,Non-US,no,Possible (manual verification needed),Moderate,6,2024,ecosystem_modeling; food_webs,74,293,31691,Frontiers in Marine Science; DIGITAL.CSIC (Spanish National Research Council (CSIC)); Environmental Modelling & Software; Scientific Reports,Advancing Global Ecological Modeling Capabilities to Simulate Future Trajectories of Change in Marine Ecosystems,Modelling the Mediterranean Sea ecosystem at high spatial resolution to inform the ecosystem-based management in the region,Calibrating ecosystem models to support ecosystem-based management of marine systems,"Recurring publication signal (6 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0688-2633,https://openalex.org/A5056431614,2026-04-10
91,C - keep on longlist,Dominique Gravel,Likely faculty/senior PI,Université de Sherbrooke,CA,Non-US,no,Strong (university advisor pipeline),Moderate,5,2024,food_webs; species_distribution,75,363,19665,Ecological Monographs; Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences; Global Ecology and Biogeography; Figshare,A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,Seasonal food webs with migrations: multi-season models reveal indirect species interactions in the Canadian Arctic tundra,"Trait‐matching models predict pairwise interactions across regions, not food web properties","Recurring publication signal (5 matched works) in food_webs, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-4498-7076,https://openalex.org/A5037256938,2026-04-10
92,C - keep on longlist,Preet Mathur,Career stage unclear (manual check needed),Thapar Institute of Engineering & Technology,IN,Non-US,no,Strong (university advisor pipeline),Selective but variable,5,2024,species_distribution,4,20,114,Arabian Journal of Geosciences; Ecological Processes; Tropical Ecology; Biocontrol Science and Technology,Machine learning ensemble species distribution modeling of an endangered arid land tree Tecomella undulata: a global appraisal,Ecological niche modelling of a critically endangered species Commiphora wightii (Arn.) Bhandari using bioclimatic and non-bioclimatic variables,Ecological niche modelling of Tecomella undulata (Sm.) Seem: an endangered (A2a) tree species from arid and semi-arid environment imparts multiple ecosystem services,Recurring publication signal (5 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3299-1550,https://openalex.org/A5082188124,2026-04-10
